label,problem,algorithm,mode,variation,dvl_fraction,m,problem_k,max_evaluations,seed,cpu_time_seconds,model_training_time,real_evaluation_time,objective_calls,dvl_evaluations,moea_evaluations,sample_size,estimated_points,population_size_final,hypervolume,status,error_message
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,48,0.9428902110084891,0.7789048819395248,0.006704184925183654,278,188,90,97,91,91,0.3589526166277359,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,49,0.04505579499527812,0.0,0.0065125230175908655,250,0,250,0,0,25,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,49,0.25636724100331776,0.1794018460350344,0.006384007909218781,250,62,188,31,31,20,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,49,0.5535225510102464,0.4346370450221002,0.006396197059075348,250,125,125,63,62,25,0.09379083103071026,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,49,0.8997041870024987,0.744200341985561,0.007078725888277404,278,188,90,97,91,91,0.4225680644429137,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,50,0.047924273007083684,0.0,0.007363798038568348,250,0,250,0,0,26,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,50,0.26441605799482204,0.1830270960344933,0.006806298944866285,250,62,188,31,31,16,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,50,0.5363668369973311,0.42243678904196713,0.006405032152542844,250,125,125,63,62,21,0.015960644071335173,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,50,0.8879613830067683,0.7334748398716329,0.0066749419493135065,278,188,90,97,91,91,0.2513709185092404,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,51,0.04401760299515445,0.0,0.006545319978613406,250,0,250,0,0,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,51,0.2515420670097228,0.1742241760221077,0.006525034084916115,250,62,188,31,31,25,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,51,0.5311367030080874,0.4174745320051443,0.006169103289721534,250,125,125,63,62,22,0.037347100605225,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,51,0.8895713209931273,0.7351637710962677,0.006777617018087767,278,188,90,97,91,91,0.2772189443373651,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,52,0.04533330199774355,0.0,0.006503070966573432,250,0,250,0,0,26,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,52,0.25213686599454377,0.17586520398617722,0.00647027901140973,250,62,188,31,31,21,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,52,0.5288802070135716,0.41550513297261205,0.006170731998281553,250,125,125,63,62,19,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,52,0.8956697539979359,0.7400712470698636,0.006662918152869679,278,188,90,97,91,91,0.5236913809352519,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,53,0.04494433299987577,0.0,0.006489420979050919,250,0,250,0,0,23,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,53,0.25239429500652477,0.1756176549679367,0.006459642158006318,250,62,188,31,31,16,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,53,0.5406869019934675,0.4242991829960374,0.006118446894106455,250,125,125,63,62,22,0.05096336149054903,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,53,0.9172744079987751,0.7590024679957423,0.006728350825142115,278,188,90,97,91,91,0.32421614288078326,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,54,0.04569032999279443,0.0,0.006636838035774417,250,0,250,0,0,28,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,54,0.250062325008912,0.17487553997489158,0.006312639976385981,250,62,188,31,31,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,54,0.5521544219955103,0.4352064349950524,0.006178221956361085,250,125,125,63,62,23,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,54,0.9133810340135824,0.7553244819137035,0.006684557971311733,278,188,90,97,91,91,0.3664271873126528,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,55,0.04448147499351762,0.0,0.006576718951691873,250,0,250,0,0,16,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,55,0.2530988929938758,0.1762345090683084,0.006391306102159433,250,62,188,31,31,21,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,55,0.528380367992213,0.41488578893768135,0.006235610126168467,250,125,125,63,62,27,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,55,0.9148568359960336,0.7568698660761584,0.006698279044940136,278,188,90,97,91,91,0.2912222853370559,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,56,0.04326706699794158,0.0,0.006541198075865395,250,0,250,0,0,20,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,56,0.251716516999295,0.17585706601676065,0.006357045072945766,250,62,188,31,31,23,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,56,0.5318079580029007,0.4172694649605546,0.00620490791334305,250,125,125,63,62,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,56,0.9040368749992922,0.7481712649314431,0.00671434382093139,278,188,90,97,91,91,0.18455631542479092,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,57,0.04827905700949486,0.0,0.007015079914708622,250,0,250,0,0,17,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,57,0.2512749290035572,0.1739941060077399,0.006393800969817676,250,62,188,31,31,22,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_50,0.5,3,10,250,57,0.5269114479888231,0.4137340460001724,0.006156252042273991,250,125,125,63,62,17,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_75,0.75,3,10,250,57,0.8920894040056737,0.7371921059821034,0.006693154005915858,278,188,90,97,91,91,0.291307447895565,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,pure_moea,pure_moea,0.0,3,10,250,58,0.044556617009220645,0.0,0.006553990024258383,250,0,250,0,0,18,0.0,success,
DTLZ1_m3_e250,DTLZ1,MOEAD,dvl_framework,dvl_25,0.25,3,10,250,58,0.26104999499511905,0.18249366502277553,0.006474190959124826,250,62,188,31,31,25,0.0,success,
